Scottish Vacant and Derelict Land Survey (SVDLS) Site Register 2024,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,
The table is a register of vacant and derelict sites and includes a variety of information about those sites in 2024.,,,,,,,,,,,,, ,
"Total sites on the register number 3,154 and include 93 urban vacant sites in settlements with a population under 2,000.
These 93 sites are not included in the main figures in the SVDLS 2024 statistical publication but are reported separately in Annex Table 2.",,,,,,,,,,,,,,
Go to Background and Notes,,,,,,,,,,,,,,
Go to Variables in Register,,,,,,,,,,,,,,
Go to Contact Details,,,,,,,,,,,,,,
Planning Authority ,Site Code,Site Name (If Supplied),Address (If Supplied),East,North,Site Size (Hectares),Site Type,Location of Site,Owner 1,Owner 2,Period when site became Vacant or Derelict,Previous Use of Site,Development Potential,Datazone
North Lanarkshire,NL008501915,LAND ADJACENT TO PAXTANE FARM,WEST MAIN STREET HARTHILL,289983,664048,9.06,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2012,Transport,Developable - Undetermined,S01011439
North Lanarkshire,NL008501917,PROPOSED LDP REGENERATION SITE 2/13,BELLSHILL ROAD UDDINGSTON,270762,660566,4.56,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2019,Community & Health,Developable - Medium Term,S01011534
North Lanarkshire,NL008501918,FORMER PLAYING FIELDS (PROPOSED HOUSING SITE),LABURNUM ROAD VIEWPARK UDDINGSTON,271541,661003,1.01,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2019,Recreation & Leisure,Developable - Short Term,S01011532
North Lanarkshire,NL008501920,SITE OF FORMER AMEY ROADS DEPOT,AITKENHEAD ROAD TANNOCHSIDE UDDINGSTON,270299,662440,0.45,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2019,Transport,Developable - Undetermined,S01011552
North Lanarkshire,NL008501924,THE VOE SOUTH -  NLMW741 REMAINDER,TORBOTHIE ROAD SHOTTS,288594,659958,0.51,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1981-1985,Mineral Activity,Developable - Short Term,S01011439
North Lanarkshire,NL008501927,LAND SOUTH OF SUNNYSIDE,WISHAW LOW ROAD CLELAND,280158,657671,0.32,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2019,Transport,Developable - Undetermined,S01011451
North Lanarkshire,NL008501929,SITE OF FORMER TIP (FORMER HOUSING SITE NLMW1065),JERVISTON ROAD MOTHERWELL,276064,658704,1.03,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2013,Mineral Activity,Developable - Undetermined,S01011462
North Lanarkshire,NL008501930,RAVENSCRAIG NORTH WEST - REMAINDER,PROSPECTHILL ROAD RAVENSCRAIG MOTHERWELL,276729,657561,0.99,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1991-1995,Manufacturing,Developable - Undetermined,S01011451
North Lanarkshire,NL008501936,SITE OF FORMER DSS OFFICES,ROBERTS STREET WISHAW,279467,655340,0.19,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2019,Offices,Developable - Undetermined,S01011401
North Lanarkshire,NL008501939,SITE OF FORMER WATER TOWER,BARONS ROAD MUIRHOUSE MOTHERWELL,276920,654986,0.11,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2013,Utility Services,Developable - Short Term,S01011371
North Lanarkshire,NL008501940,OLD MANSE ROAD -  FORMER HLA SITE NLMW0143A,OLD MANSE ROAD NETHERTON WISHAW,278517,654191,2.64,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1981-1985,Recreation & Leisure,Developable - Undetermined,S01011362
North Lanarkshire,NL008501946,LAND AT REEMA ROAD (HLA NLMW1322),REEMA ROAD BELLSHILL,274045,660590,1.59,Derelict,"Site in settlement with population equal to or over 2,000",Housing Association,Not applicable  (i.e. only one owner),2020,Mineral Activity,Developable - Short Term,S01011525
North Lanarkshire,NL008501954,DEMOLISHED FACTORY UNITS - NORTH SITE,NETHERDALE ROAD NETHERTON INDUSTRIAL ESTATE WISHAW,278247,654774,0.21,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2010,Other General Industry,Developable - Medium Term,S01011365
North Lanarkshire,NL008501956,LAND AT 16 HOLYTOWN ROAD,HOLYTOWN ROAD HOLYTOWN,275536,660363,1.45,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2020,Residential - Housing,Developable - Medium Term,S01011497
North Lanarkshire,NL008501975,SITE OF FORMER SOCIAL WORK OFFICE - HSG SITE NLMW1,GRAHAM STREET WISHAW,279833,654936,0.2,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2021,Offices,Developable - Short Term,S01011396
North Lanarkshire,NL008501993,SITE OF FORMER ELECTRICAL WORKS (ILS NLS00606),LAUCHOPE ROAD NEWHOUSE INDUSTRIAL ESTATE NEWHOUSE,277643,661398,1.79,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1991-1995,Other General Industry,Developable - Medium Term,S01011504
North Lanarkshire,NL008502013,GOWKTHRAPPLE EAST DEMOLITIONS,STANHOPE PLACE GOWKTHRAPPLE WISHAW,279123,653654,6.78,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Residential - Housing,Developable - Medium Term,S01011361
North Lanarkshire,NL008502015,SITE OF FORMER NEWMAINS PS & FAMILY LEARNING CENTR,SCHOOL ROAD NEWMAINS,282110,655804,0.89,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Education,Developable - Undetermined,S01011417
North Lanarkshire,NL008502017,SITE OF FORMER ST BRIGID'S PRIMARY SCHOOL,NEWTON DRIVE NEWMAINS,282092,656135,1.06,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Education,Developable - Undetermined,S01011417
North Lanarkshire,NL008502018,FORMER FALLSIDE SECONDARY SCHOOL,SANDERSON AVENUE VIEWPARK UDDINGSTON,271559,660796,0.25,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Education,Developable - Undetermined,S01011533
North Lanarkshire,NL008502019,SITE OF FORMER EAST CRINDLEDYKE FARM (HOUSING SITE,ABERNETHYN ROAD NEWMAINS,282535,656735,0.4,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2022,Agriculture,Developable - Short Term,S01011422
North Lanarkshire,NL008502023,SITE OF FORMER FORGEWOOD NURSERY CENTRE,FIFE DRIVE FORGEWOOD MOTHERWELL,274693,658862,0.14,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Education,Developable - Undetermined,S01011496
North Lanarkshire,NL008502024,FORMER DRAFFEN TOWER  (HOUSING SITE NLMW1373),DRAFFEN STREET MOTHERWELL,275757,657415,0.68,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Residential - Housing,Developable - Medium Term,S01011472
North Lanarkshire,NL008502025,FORMER ALLAN & COURSINGTON TOWER BLOCKS (NLMW1374),COURSINGTON ROAD MOTHERWELL,275897,657356,0.71,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Residential - Housing,Developable - Medium Term,S01011472
North Lanarkshire,NL008502026,SITE OF FORMER ORBISTON NURSERY SCHOOL,LIBERTY ROAD ORBISTON BELLSHILL,273249,659502,0.14,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Education,Developable - Short Term,S01011514
North Lanarkshire,NL008502028,SITE AT 91,BENHAR ROAD SHOTTS,287984,660339,0.16,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2022,Other General Industry,Developable - Short Term,S01011435
North Lanarkshire,NL008502029,FORMER VIEWPARK GARDENS,BAIRDS AVENUE VIEWPARK UDDINGSTON,270818,660816,2.18,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2024,Recreation & Leisure,Developable - Undetermined,S01011535
North Lanarkshire,NL008502033,GOWKTHRAPPLE NORTH WEST ALLERSHAW AND BIRKSHAW TOW,ALLERSHAW PLACE GOWKTHRAPPLE WISHAW,278933,653817,1.83,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2024,Residential - Housing,Developable - Medium Term,S01011361
North Lanarkshire,NL008502034,FORMER BULLFROG PUB (FIRE DAMAGED),SHIELDS ROAD MUIRHOUSE MOTHERWELL,276610,655394,0.16,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2024,Other,Developable - Undetermined,S01011375
North Lanarkshire,NL008502035,LAND TO SOUTH OF EVANS HALSHAW,DALZELL DRIVE MOTHERWELL,276167,655868,0.84,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2024,Other,Developable - Medium Term,S01011381
North Lanarkshire,NL008520122,GARNKIRK IND ESTATE - NLN00245,WOODHEAD ROAD MUIRHEAD,267733,668658,0.73,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1981-1985,Other General Industry,Developable - Medium Term,S01011703
North Lanarkshire,NL008520219,GARTCOSH INTERCHANGE - SOUTH (SITE 1 & 2A/B),AULDYARDS ROAD GARTCOSH,270823,667900,25.51,Derelict,"Site in settlement with population under 2,000",Scottish Enterprise,Not applicable  (i.e. only one owner),1986-1990,Manufacturing,Developable - Medium Term,S01011695
North Lanarkshire,NL008520248,SITE OF FORMER STONEYETTS HOSPITAL NORTH (NLSK0441,GARTFERRY ROAD MOODIESBURN,269655,671626,4.33,Derelict,"Site in settlement with population equal to or over 2,000",Health Boards,Not applicable  (i.e. only one owner),1991-1995,Community & Health,Developable - Short Term,S01011703
North Lanarkshire,NL008520250,FORMER PEAT WORKS,A80 MOODIESBURN,270447,670788,1.57,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1996-2000,Mineral Activity,Uneconomic to Develop/Soft End Use,S01011695
North Lanarkshire,NL008520328,GARTCOSH INTERCHANGE WEST (SITE 3 REMAINDER),CRAIGNETHAN DRIVE GARTCOSH,270229,667973,6.8,Derelict,"Site in settlement with population under 2,000",Scottish Enterprise,Not applicable  (i.e. only one owner),1986-1990,Manufacturing,Developable - Medium Term,S01011695
North Lanarkshire,NL008520340,INDUSTRIAL SITE NLN00415,BUCHANAN GATE STEPPS,266966,668875,0.59,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2007,Prepared Ground,Developable - Medium Term,S01011701
North Lanarkshire,NL008521224,SITE OF FORMER GARAGE,STONEYETTS ROAD MOODIESBURN,269932,670470,0.14,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2007,Transport,Developable - Undetermined,S01011713
North Lanarkshire,NL008521231,FORMER HOUSING SITE - NLSK300,EASTGATE GARTCOSH,270101,668255,1.04,Vacant Land,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),1991-1995,Recreation & Leisure,Developable - Short Term,S01011695
North Lanarkshire,NL008521306,LAND EAST OF UNIT 6 BUCHANAN BUSINESS PARK,BUCHANAN COURT STEPPS,266671,668869,0.19,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Prepared Ground,Developable - Medium Term,S01011701
North Lanarkshire,NL008521307,LAND SOUTH OF BUCHANAN BUSINESS PARK,CUMBERNAULD ROAD STEPPS,266701,668499,2.03,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Other General Industry,Developable - Undetermined,S01011703
North Lanarkshire,NL008521308,SITE OF FORMER GARTLOCH DISTILLERY,WOODHEAD ROAD CHRYSTON,267720,668044,1.98,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Manufacturing,Uneconomic to Develop/Soft End Use,S01011695
North Lanarkshire,NL008521388,FORMER AUCHENGEICH SEWAGE TREATMENT WORKS,GARTFERRY ROAD CHRYSTON,269193,671281,2.66,Derelict,Site in countryside,Water Authority,Not applicable  (i.e. only one owner),2009,Community & Health,Developable - Undetermined,S01011709
North Lanarkshire,NL008521499,GARTCOSH INTERCHANGE - EAST (PLOT1A),AULDYARDS ROAD GARTCOSH,270852,668275,5.82,Vacant Land,"Site in settlement with population under 2,000",Scottish Enterprise,Local Authority,1986-1990,Manufacturing,Developable - Short Term,S01011695
North Lanarkshire,NL008521573,FORMER DRUNCAVEL ROCK SAND WORKS,DRUMCAVEL ROAD MUIRHEAD,270714,669742,0.89,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2001-2004,Mineral Activity,Developable - Undetermined,S01011695
North Lanarkshire,NL008521814,FORMER CAR SALES YARD (NO 42),CUMBERNAULD ROAD STEPPS,265462,668165,0.3,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2012,Other General Industry,Developable - Short Term,S01011699
North Lanarkshire,NL008521816,SITE OF FORMER TENNIS COURTS/BOWLING GREEN & PAVIL,GARTFERRY ROAD MOODIESBURN,269106,670988,0.42,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2017,Recreation & Leisure,Developable - Undetermined,S01011709
North Lanarkshire,NL008521899,FORMER FEPHEATCARE SITE,CUMBERNAULD ROAD CHRYSTON,268590,669511,0.63,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2019,Other General Industry,Developable - Undetermined,S01011706
North Lanarkshire,NL008521957,SITE TO WEST OF POTASSELS ROAD,POTASSELS ROAD MUIRHEAD,268075,669219,1.81,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2020,Mineral Activity,Developable - Medium Term,S01011704
North Lanarkshire,NL008521960,ABANDONED YARD,GARTLOCH ROAD GARTCOSH,269440,667738,0.29,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2020,Mineral Activity,Developable - Medium Term,S01011694
Orkney Islands,1100018,FORMER NAVAL BASE,LYNESS HOY,330623,994687,31.77,Derelict,Site in countryside,Local Authority,Unknown Private,1980 or earlier,Defence,Developable - Short Term,S01011827
Perth and Kinross,1001,LADESIDE INDUSTRIAL ESTATE,ST CATHERINE'S RD PERTH,310889,724351,0.19,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),1991-1995,Unknown,Developable - Undetermined,S01011935
Perth and Kinross,1010,SAWMILL,BAMFF ROAD ALYTH,324306,748686,0.71,Derelict,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),2001-2004,Forestry/Woodland,Developable - Medium Term,S01011976
Perth and Kinross,1012,BRIDGEND EAST,BRIDGEND EAST KINROSS,311420,701936,2.58,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Unknown,Developable - Medium Term,S01011834
Perth and Kinross,1029,FORMER CAR SHOWROOM,RIGGS ROAD PERTH,310880,723685,0.63,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2005,Retailing,Developable - Short Term,S01011893
Perth and Kinross,1041,GOODS YARD1,STATION ROAD MURTHLY,310026,738387,0.72,Derelict,"Site in settlement with population under 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Transport,Developable - Undetermined,S01011998
Perth and Kinross,1058,KINNON PARK FARM,METHVEN,303964,724686,0.66,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Developable - Medium Term,S01011872
Perth and Kinross,1067,FORMER GASWORKS,BROICH ROAD CRIEFF,286016,721090,0.55,Derelict,"Site in settlement with population equal to or over 2,000",Private Gas,Not applicable  (i.e. only one owner),2005,Storage,Developable - Medium Term,S01011870
Perth and Kinross,1074,MILTON HOUSE AND GARAGE,NEWBURGH ROAD ABERNETHY,319340,716707,1.29,Vacant Land,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Short Term,S01011885
Perth and Kinross,1075,FORMER BUILDERS YARD,RIGGS ROAD/LONG CAUSEWAY PERTH,310833,723788,0.18,Derelict,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),2008,Other General Industry,Developable - Short Term,S01011893
Perth and Kinross,1078,GOODS YARD,TULLOCH ROAD PERTH,310241,725124,10.66,Vacant Land,"Site in settlement with population equal to or over 2,000",Network Rail/ Rail Franchise Holder,Not applicable  (i.e. only one owner),2009,Transport,Developable - Medium Term,S01011923
Perth and Kinross,1081,FORMER ERROL SAWMILL,ERROL AIRFIELD B953 ERROL,326903,724841,1.51,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2010,Forestry/Woodland,Developable - Undetermined,S01011962
Perth and Kinross,1086,FORMER ABP,STRATHTAY ROAD PERTH,309014,724842,0.35,Derelict,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),2013,Other,Developable - Medium Term,S01011911
